frame,angle,count
0,138.68379599446746,0
1,136.88005971777068,0
2,135.45069673104283,0
3,133.73969562251773,0
4,131.48088615583328,0
5,129.131251637513,0
6,126.90793446799943,0
7,123.69336069089093,0
8,121.25049017626371,0
9,119.19806777518126,0
10,116.6202356661127,0
11,115.21458578195404,0
12,112.88172363856351,0
13,108.1209798065666,0
14,105.29056987023793,0
15,101.75490035636969,0
16,98.61822516875787,0
17,96.98388189989471,0
18,95.16225001953563,0
19,90.4517717331636,0
20,88.14229792189367,0
21,85.698855240379,0
22,82.47409240065485,0
23,80.80690170452378,0
24,78.78880676965375,0
25,77.39451205428227,0
26,75.43695088863318,0
27,73.64037763627235,0
28,72.16818008019384,0
29,71.1998384996494,0
30,69.05564107906184,0
31,67.38235354675628,0
32,67.70694451976203,0
33,66.80583310533369,0
34,66.68938652360121,0
35,66.67695567740844,0
36,65.23457254437135,0
37,64.47701091638302,0
38,62.59612296319897,0
39,62.21350734192693,0
40,62.31252696715429,0
41,62.250961217301125,0
42,60.98511611563872,0
43,60.05773733223387,0
44,58.632651577213835,0
45,57.02061913612436,0
46,55.78843849144419,0
47,55.475027034477215,0
48,55.055313989381624,0
49,54.319190442108805,0
50,53.74555815676169,0
51,53.15473081369771,0
52,52.74524128485117,0
53,52.8230472274178,0
54,54.03627452259313,0
55,55.331039244169624,0
56,55.93564114170821,0
57,58.21518552785734,0
58,60.15161819264416,0
59,62.38692115798024,0
60,63.10466398204643,0
61,64.22711447970153,0
62,64.94404933639328,0
63,65.40077107871332,0
64,67.59076612187651,0
65,70.6330413734198,0
66,73.35761222840938,0
67,74.61213986282766,0
68,76.69334660939595,0
69,82.19978286374932,0
70,83.9337580046298,0
71,86.46931249250746,0
72,89.70167797105437,0
73,94.54369476806045,0
74,95.33631984064965,0
75,98.55467421181481,0
76,100.63212028947295,0
77,103.46604715991431,0
78,106.43092435949593,0
79,109.82743399041843,0
80,112.31134023469656,0
81,114.96279923316186,0
82,118.90182115119327,0
83,120.11400993642485,0
84,122.14934067119985,0
85,123.9651595257368,0
86,126.26384751283396,0
87,128.86177638671484,0
88,131.45749667674255,0
89,134.31981327667705,0
90,136.17991040224763,0
91,138.69135369522382,0
92,141.84845771816808,0
93,145.1228916526624,0
94,147.26397073474962,0
95,148.38723792508225,0
96,150.29207612499386,0
97,151.7189127665788,0
98,153.0145842309563,0
99,154.83035417620437,0
100,156.30031763760556,0
101,157.6039807163349,0
102,158.2996709382447,0
103,159.34308115561825,0
104,160.5849829671046,0
105,161.24349403764586,0
106,162.08037601423936,0
107,162.79146593195972,0
108,163.301886537766,0
109,163.58473972800817,0
110,163.865701744154,0
111,164.14381535208798,0
112,164.67384817736476,0
113,165.23622288719352,0
114,165.72507343112744,0
115,166.0257585859621,0
116,166.03716387455313,0
117,166.06436278207502,0
118,166.1431744956778,0
119,166.22134009691058,0
120,166.2031136369514,0
121,166.13100961569327,0
122,165.97224395667442,0
123,165.81511071975444,0
124,165.3600309093048,0
125,164.90405237785632,0
126,164.47408674519997,0
127,163.99110457597374,0
128,163.3508070148672,0
129,162.81527767660538,0
130,162.00870435970603,0
131,159.8814101642597,0
132,158.46065341954792,0
133,156.16380835419213,0
134,154.15654441387179,0
135,151.87995464578933,0
136,149.53115934983896,0
137,147.3207344229513,0
138,145.3502741320973,0
139,143.3779803635436,0
140,140.97283629087266,0
141,139.2296685407239,0
142,137.2240080062843,0
143,134.8831256290847,0
144,131.3921332045821,0
145,129.78843129637394,0
146,128.03896040890461,0
147,125.75972894103654,0
148,123.50170540989872,0
149,120.55785205846524,0
150,118.61223048352791,0
151,115.98361183995611,0
152,114.3815958907436,0
153,108.2763714919707,0
154,105.55264286976667,0
155,101.72617457532903,0
156,97.18858991207394,0
157,93.94726343735367,0
158,89.92630290705094,1
159,87.66074985770366,1
160,83.9900047119494,1
161,81.86438446367988,1
162,80.30768538419022,1
163,81.77512736093449,1
164,76.30671128598446,1
165,73.74726162507034,1
166,71.54005991845835,1
167,70.04975989531677,1
168,69.5412927338216,1
169,69.04158558205152,1
170,68.00952121496474,1
171,67.44649063278506,1
172,64.4252909986837,1
173,62.048989509878304,1
174,60.140017119171326,1
175,59.48530780201495,1
176,59.30207419763195,1
177,58.611657758700495,1
178,57.92049141418452,1
179,57.47409510508258,1
180,57.444458175983904,1
181,57.20712827869215,1
182,57.209311103817065,1
183,57.41540799097989,1
184,56.902267335188405,1
185,57.09269477732983,1
186,57.6059305254138,1
187,58.04576562434358,1
188,58.250983218346434,1
189,58.421181337689546,1
190,58.44342697012552,1
191,58.90414224471953,1
192,59.59756743164121,1
193,60.04424402168161,1
194,61.85874204435483,1
195,63.52949237467778,1
196,64.66906168451254,1
197,66.10167454079522,1
198,68.10855383747197,1
199,69.42146147114774,1
200,70.48084097574709,1
201,72.21726803058105,1
202,73.44553569306976,1
203,76.46856804147517,1
204,78.47283124168406,1
205,80.86783285241543,1
206,84.0812292378797,1
207,86.50014620007231,1
208,90.87735550203485,1
209,92.77515465603075,1
210,96.39946985291463,1
211,100.62075407059591,1
212,103.10621816703681,1
213,107.68687884766372,1
214,109.69543848695187,1
215,113.0128996065356,1
216,115.6782093380195,1
217,118.29045022461771,1
218,120.85970755946124,1
219,123.51251142832162,1
220,124.69649454260842,1
221,126.40024458697172,1
222,127.88855475019017,1
223,130.6322108057325,1
224,134.15265635266698,1
225,135.58261564267798,1
226,138.53614170578447,1
227,139.6658959104003,1
228,142.52809235691518,1
229,145.77367153311314,1
230,147.85914657978682,1
231,150.01182360979695,1
232,152.82645892998713,1
233,155.09157259026,1
234,156.99538378390096,1
235,159.69346974498416,1
236,161.880139038627,1
237,162.98575189610273,1
238,164.21122403473902,1
239,165.09651284694434,1
240,165.72519267386258,1
241,165.84895862029174,1
242,165.7048272213367,1
243,165.57779505930841,1
244,165.56991417847445,1
245,165.48963872445532,1
246,165.570408635192,1
247,165.70354737542908,1
248,165.8396537342571,1
249,166.2302364595354,1
250,166.48411940209402,1
251,166.5940852708882,1
252,166.63973286602518,1
253,166.65513761501674,1
254,166.6515742743795,1
255,166.68274215665684,1
256,166.62926901047578,1
257,166.42819045697487,1
258,166.44086086519022,1
259,166.42895647485346,1
260,166.55605662077795,1
261,166.2371755504795,1
262,165.4752414909275,1
